,H,A,ASL,ACL,ASP1,ACP1,ASP2,ACP2,TSL,TCL,TSP1,TCP1,TSP2,TCP2,start,close,sta-suo,sta-ttg,clo-suo,clo-ttg
0,AFC BOURNEMOUTH,MANCHESTER UNITED,0.5 / -0.5,0.5 / -0.5,1.92,1.97,1.98,1.98,2.5,2.5,1.77,1.82,2.14,2.11,[-0.54188205  2.89456018],[-0.57012791  2.85008553],-0.5418820540553885,2.8945601752630057,-0.5701279055036321,2.8500855287914004
1,CARDIFF CITY,LEICESTER CITY,0.25 / -0.25,0.25 / -0.25,2,1.98,1.9,1.97,2.25,2.5,1.95,2.08,1.95,1.84,[-0.34679125  2.35712287],[-0.30342825  2.57525549],-0.34679124718900134,2.3571228658403363,-0.3034282475646076,2.5752554917929014
2,EVERTON FC,BRIGHTON & HOVE ALBION,-0.75 / 0.75,-0.75 / 0.75,1.85,1.71,2.05,2.31,2.5,2.5,2.02,2.11,1.88,1.82,[ 0.92531967  2.6235224 ],[ 1.10283839  2.54746318],0.9253196738853956,2.6235224019460386,1.1028383906073278,2.5474631779718484
3,NEWCASTLE UNITED,WATFORD FC,0 / 0,0 / 0,1.91,2.04,1.99,1.91,2.25,2.5,2.02,2.31,1.88,1.68,[ 0.02892525  2.30047714],[-0.04761689  2.38828986],0.028925254590035678,2.3004771392237706,-0.04761689479991942,2.388289856798731
4,WEST HAM UNITED,BURNLEY FC,-0.75 / 0.75,-0.75 / 0.75,1.9,1.73,2,2.28,2.25,2.5,1.9,1.89,2,2.03,[ 0.88159704  2.397389  ],[ 1.08726571  2.76834884],0.8815970383956082,2.3973890018064226,1.0872657141157396,2.768348843422898
5,ARSENAL FC,LIVERPOOL FC,0.25 / -0.25,0.25 / -0.25,2,2.28,1.9,1.73,3,2.75,1.96,1.63,1.94,2.4,[-0.34307359  3.16294169],[-0.57663156  3.35998243],-0.3430735904530459,3.1629416866597064,-0.5766315586331529,3.3599824278689816
6,WOLVERHAMPTON WANDERERS,TOTTENHAM HOTSPUR,0.5 / -0.5,0.5 / -0.5,1.88,1.71,2.02,2.31,2.5,2.5,2.02,1.98,1.88,1.94,[-0.50769387  2.6250732 ],[-0.27186403  2.67711786],-0.5076938658343991,2.6250731973823496,-0.2718640282243328,2.677117860675499
7,MANCHESTER CITY,SOUTHAMPTON FC,-2.5 / 2.5,-2.5 / 2.5,1.78,2.03,2.13,1.92,3.5,3.5,1.88,1.91,2.02,2.01,[ 2.85475354  3.76212653],[ 2.56682576  3.73686498],2.8547535421843024,3.762126528477383,2.5668257632881413,3.736864976652172
8,CHELSEA FC,CRYSTAL PALACE,-1.75 / 1.75,-1.75 / 1.75,2,2.25,1.9,1.75,3,2.75,1.88,1.79,2.02,2.14,[ 1.80641606  3.23504601],[ 1.60209897  3.15130584],1.8064160643025897,3.235046007756296,1.602098966066755,3.1513058366797506
9,HUDDERSFIELD TOWN,FULHAM FC,-0.25 / 0.25,-0.25 / 0.25,1.9,2.01,2,1.94,2.5,2.5,1.97,2.01,1.93,1.91,[ 0.34445786  2.67690101],[ 0.26539269  2.64632788],0.34445786433581865,2.6769010082571674,0.26539268900637336,2.646327882082044
10,CARDIFF CITY,BRIGHTON & HOVE ALBION,-0.25 / 0.25,-0.25 / 0.25,2.14,2.17,1.77,1.8,2.25,2.25,2.05,2.36,1.85,1.65,[ 0.14517141  2.27636191],[ 0.15952119  2.08413649],0.14517141334220438,2.2763619121775673,0.15952119303602708,2.0841364908795175
11,HUDDERSFIELD TOWN,WEST HAM UNITED,0.25 / -0.25,0.25 / -0.25,1.86,1.85,2.04,2.11,2.25,2.5,2.11,2.29,1.8,1.69,[-0.22858136  2.232846  ],[-0.18816983  2.40180932],-0.22858135866289994,2.232845995647827,-0.18816982546260894,2.401809315089852
12,LEICESTER CITY,BURNLEY FC,-1 / 1,-1 / 1,2.02,1.79,1.88,2.19,2.5,2.5,2.13,1.75,1.78,2.2,[ 1.04427418  2.51699419],[ 1.26143272  2.93341503],1.0442741790120948,2.5169941911446263,1.2614327161911034,2.9334150319988512
13,NEWCASTLE UNITED,AFC BOURNEMOUTH,0 / 0,0 / 0,1.92,2.12,1.98,1.84,2.5,2.5,2.07,1.98,1.83,1.94,[ 0.02341081  2.57487876],[-0.11054847  2.67727096],0.023410810316625355,2.57487876429251,-0.11054846801310121,2.6772709591534207
14,SOUTHAMPTON FC,WATFORD FC,-0.25 / 0.25,-0.25 / 0.25,2.03,2.03,1.87,1.92,2.5,2.5,2.25,2.03,1.7,1.89,[ 0.23008503  2.42377849],[ 0.24742673  2.62594385],0.23008503319608192,2.423778494307282,0.2474267290036476,2.6259438544086
15,CRYSTAL PALACE,TOTTENHAM HOTSPUR,0.75 / -0.75,0.75 / -0.75,1.98,2.03,1.92,1.92,2.75,2.5,1.95,1.98,1.95,1.94,[-0.85436327  2.98364646],[-0.88165253  2.67535882],-0.8543632719043686,2.983646464332512,-0.8816525334157321,2.6753588233422385
16,LIVERPOOL FC,FULHAM FC,-2.5 / 2.5,-2.5 / 2.5,1.8,1.8,2.11,2.17,3.75,3.75,1.88,1.82,2.02,2.11,[ 2.82805474  4.04648855],[ 2.86346816  4.13174354],2.828054735286111,4.04648855246318,2.8634681559245636,4.131743538787722
17,CHELSEA FC,EVERTON FC,-1.25 / 1.25,-1.25 / 1.25,1.8,1.86,2.11,2.09,3,2.75,1.98,1.73,1.92,2.23,[ 1.51477135  3.14334564],[ 1.47145049  3.22531906],1.5147713539663485,3.1433456357084992,1.4714504945526552,3.22531906124207
18,ARSENAL FC,WOLVERHAMPTON WANDERERS,-1 / 1,-1 / 1,1.97,2.12,1.93,1.84,2.75,2.5,1.85,1.66,2.05,2.35,[ 1.06887975  3.07987624],[ 0.96267007  3.06393823],1.0688797453515901,3.0798762354925096,0.9626700682069524,3.0639382256199017
19,MANCHESTER CITY,MANCHESTER UNITED,-1.25 / 1.25,-1.25 / 1.25,2,1.74,1.9,2.26,3,3,1.88,1.76,2.02,2.19,[ 1.29813214  3.23614052],[ 1.62266269  3.37106737],1.2981321440178615,3.2361405183341203,1.6226626919211002,3.3710673726083895
